Transaction,Date,Item
1,10/30/2016,Bread
2,10/30/2016,Scandinavian
2,10/30/2016,Scandinavian
3,10/30/2016,Hot chocolate
3,10/30/2016,Jam
3,10/30/2016,Cookies
4,10/30/2016,Muffin
5,10/30/2016,Coffee
5,10/30/2016,Pastry
5,10/30/2016,Bread
6,10/30/2016,Medialuna
6,10/30/2016,Pastry
6,10/30/2016,Muffin
7,10/30/2016,Medialuna
7,10/30/2016,Pastry
7,10/30/2016,Coffee
7,10/30/2016,Tea
8,10/30/2016,Pastry
8,10/30/2016,Bread
9,10/30/2016,Bread
9,10/30/2016,Muffin
10,10/30/2016,Scandinavian
10,10/30/2016,Medialuna
11,10/30/2016,Bread
11,10/30/2016,Medialuna
11,10/30/2016,Bread
11,10/30/2016,NONE
12,10/30/2016,Jam
12,10/30/2016,Coffee
12,10/30/2016,Tartine
12,10/30/2016,Pastry
12,10/30/2016,Tea
13,10/30/2016,Basket
13,10/30/2016,Bread
13,10/30/2016,Coffee
14,10/30/2016,Bread
14,10/30/2016,Medialuna
14,10/30/2016,Pastry
15,10/30/2016,NONE
15,10/30/2016,NONE
15,10/30/2016,Mineral water
15,10/30/2016,Scandinavian
16,10/30/2016,Bread
16,10/30/2016,Medialuna
16,10/30/2016,Coffee
17,10/30/2016,Hot chocolate
18,10/30/2016,Farm House
19,10/30/2016,Farm House
19,10/30/2016,Bread
20,10/30/2016,Bread
20,10/30/2016,Medialuna
21,10/30/2016,Coffee
21,10/30/2016,Coffee
21,10/30/2016,Medialuna
21,10/30/2016,Bread
22,10/30/2016,Jam
23,10/30/2016,Scandinavian
23,10/30/2016,Muffin
24,10/30/2016,Bread
25,10/30/2016,Scandinavian
26,10/30/2016,Fudge
27,10/30/2016,Scandinavian
28,10/30/2016,Coffee
28,10/30/2016,Bread
29,10/30/2016,Bread
29,10/30/2016,Jam
29,10/30/2016,NONE
30,10/30/2016,Bread
31,10/30/2016,Basket
32,10/30/2016,Scandinavian
32,10/30/2016,Muffin
33,10/30/2016,Coffee
34,10/30/2016,Coffee
34,10/30/2016,Muffin
35,10/30/2016,Muffin
35,10/30/2016,Scandinavian
36,10/30/2016,Tea
36,10/30/2016,Bread
37,10/30/2016,Coffee
37,10/30/2016,Bread
37,10/30/2016,NONE
38,10/30/2016,Bread
38,10/30/2016,Tea
39,10/30/2016,Scandinavian
40,10/30/2016,Juice
40,10/30/2016,NONE
40,10/30/2016,Tartine
40,10/30/2016,Coffee
40,10/30/2016,Muffin
41,10/30/2016,Scandinavian
42,10/30/2016,Bread
42,10/30/2016,Tea
43,10/30/2016,Scandinavian
43,10/30/2016,Fudge
44,10/30/2016,Coffee
44,10/30/2016,Medialuna
45,10/30/2016,Coffee
45,10/30/2016,Hot chocolate
45,10/30/2016,Medialuna
46,10/30/2016,Coffee
47,10/30/2016,Ella's Kitchen Pouches
47,10/30/2016,Juice
47,10/30/2016,Bread
47,10/30/2016,Muffin
47,10/30/2016,Jam
48,10/30/2016,Coffee
49,10/30/2016,Coffee
49,10/30/2016,Coffee
49,10/30/2016,Medialuna
50,10/30/2016,Bread
50,10/30/2016,Victorian Sponge
51,10/30/2016,Bread
52,10/30/2016,Scandinavian
54,10/30/2016,Bread
55,10/30/2016,Frittata
55,10/30/2016,Coffee
55,10/30/2016,Tea
55,10/30/2016,Hearty & Seasonal
56,10/30/2016,Coffee
56,10/30/2016,Frittata
57,10/30/2016,Scandinavian
58,10/30/2016,Victorian Sponge
58,10/30/2016,Hot chocolate
58,10/30/2016,Tea
58,10/30/2016,Soup
59,10/30/2016,Tea
59,10/30/2016,NONE
60,10/30/2016,Cookies
60,10/30/2016,Coffee
60,10/30/2016,Juice
60,10/30/2016,Coffee
61,10/30/2016,Coffee
62,10/30/2016,Pick and Mix Bowls
62,10/30/2016,Hearty & Seasonal
62,10/30/2016,Hearty & Seasonal
62,10/30/2016,Coffee
62,10/30/2016,Smoothies
62,10/30/2016,Coffee
63,10/30/2016,Coffee
64,10/30/2016,Cake
65,10/30/2016,NONE
65,10/30/2016,Tartine
65,10/30/2016,Mighty Protein
65,10/30/2016,Tea
65,10/30/2016,Coffee
66,10/30/2016,Hearty & Seasonal
66,10/30/2016,Frittata
66,10/30/2016,Mineral water
67,10/30/2016,Hearty & Seasonal
67,10/30/2016,NONE
67,10/30/2016,Mineral water
67,10/30/2016,Muffin
68,10/30/2016,Frittata
68,10/30/2016,Coffee
68,10/30/2016,Tea
68,10/30/2016,Scandinavian
68,10/30/2016,Chicken sand
69,10/30/2016,Bread
69,10/30/2016,Tea
69,10/30/2016,Victorian Sponge
70,10/30/2016,Fudge
71,10/30/2016,Muffin
72,10/30/2016,Coffee
72,10/30/2016,Bread
73,10/30/2016,Bread
74,10/30/2016,Coffee
74,10/30/2016,Bread
75,10/30/2016,NONE
75,10/30/2016,Jam
75,10/30/2016,Frittata
76,10/30/2016,Coffee
77,10/30/2016,Scandinavian
78,10/30/2016,Fudge
79,10/30/2016,Fudge
79,10/30/2016,Tea
79,10/30/2016,Coffee
79,10/30/2016,Muffin
80,10/30/2016,Frittata
80,10/30/2016,Bread
80,10/30/2016,Coffee
81,10/31/2016,Coffee
81,10/31/2016,Cake
82,10/31/2016,Tartine
82,10/31/2016,NONE
82,10/31/2016,Bread
83,10/31/2016,Coffee
83,10/31/2016,Bread
84,10/31/2016,Bread
85,10/31/2016,Coffee
85,10/31/2016,Coffee
85,10/31/2016,Pastry
85,10/31/2016,Medialuna
86,10/31/2016,Juice
87,10/31/2016,Bread
88,10/31/2016,Coffee
88,10/31/2016,Coffee
88,10/31/2016,Jam
89,10/31/2016,Bread
90,10/31/2016,Bread
90,10/31/2016,Coffee
91,10/31/2016,Tea
91,10/31/2016,NONE
92,10/31/2016,Coffee
93,10/31/2016,Bread
93,10/31/2016,Coke
94,10/31/2016,Coffee
94,10/31/2016,Coffee
95,10/31/2016,Tea
95,10/31/2016,Pastry
95,10/31/2016,Farm House
96,10/31/2016,Pastry
96,10/31/2016,Pastry
96,10/31/2016,Coffee
96,10/31/2016,Juice
97,10/31/2016,Coffee
97,10/31/2016,Pastry
97,10/31/2016,Juice
98,10/31/2016,Farm House
99,10/31/2016,Pastry
99,10/31/2016,Pastry
99,10/31/2016,Coffee
99,10/31/2016,Bread
100,10/31/2016,Bread
101,10/31/2016,Coffee
101,10/31/2016,Pastry
102,10/31/2016,Farm House
103,10/31/2016,NONE
103,10/31/2016,Bread
104,10/31/2016,Coffee
104,10/31/2016,Coffee
104,10/31/2016,Medialuna
104,10/31/2016,Muffin
104,10/31/2016,Coffee
105,10/31/2016,Coffee
105,10/31/2016,Tea
105,10/31/2016,NONE
105,10/31/2016,Cake
106,10/31/2016,Coffee
106,10/31/2016,Coffee
106,10/31/2016,Pastry
106,10/31/2016,Pastry
107,10/31/2016,Coffee
107,10/31/2016,Tea
108,10/31/2016,Farm House
108,10/31/2016,Muffin
109,10/31/2016,Bread
109,10/31/2016,Muffin
109,10/31/2016,Pastry
110,10/31/2016,Pastry
111,10/31/2016,Coffee
112,10/31/2016,Coffee
113,10/31/2016,Coffee
113,10/31/2016,Cake
114,10/31/2016,Farm House
115,10/31/2016,Bread
116,10/31/2016,Coffee
117,10/31/2016,Cookies
117,10/31/2016,Cake
117,10/31/2016,Coffee
117,10/31/2016,My-5 Fruit Shoot
118,10/31/2016,Cookies
118,10/31/2016,Cookies
118,10/31/2016,Tea
118,10/31/2016,Pastry
119,10/31/2016,Coffee
119,10/31/2016,Coffee
119,10/31/2016,Muffin
120,10/31/2016,Farm House
121,10/31/2016,Coffee
121,10/31/2016,Bread
122,10/31/2016,Cookies
123,10/31/2016,Jam
123,10/31/2016,NONE
123,10/31/2016,Coffee
123,10/31/2016,Coffee
123,10/31/2016,Juice
124,10/31/2016,Coffee
124,10/31/2016,Soup
125,10/31/2016,Tea
126,10/31/2016,Coffee
126,10/31/2016,Jam
127,10/31/2016,Farm House
128,10/31/2016,NONE
128,10/31/2016,Tartine
128,10/31/2016,Coffee
128,10/31/2016,Tea
129,10/31/2016,Coffee
129,10/31/2016,Coffee
129,10/31/2016,Cake
130,10/31/2016,Coffee
130,10/31/2016,Coffee
130,10/31/2016,Muffin
131,10/31/2016,Bread
131,10/31/2016,Coffee
132,10/31/2016,Tea
132,10/31/2016,Juice
132,10/31/2016,Pick and Mix Bowls
132,10/31/2016,Cookies
133,10/31/2016,Hearty & Seasonal
133,10/31/2016,Soup
134,10/31/2016,Hearty & Seasonal
134,10/31/2016,Tea
134,10/31/2016,Farm House
135,10/31/2016,Bread
136,10/31/2016,Tea
136,10/31/2016,Soup
137,10/31/2016,Farm House
138,10/31/2016,Soup
138,10/31/2016,Hearty & Seasonal
138,10/31/2016,Coffee
139,10/31/2016,Bread
139,10/31/2016,Muffin
139,10/31/2016,Hearty & Seasonal
140,10/31/2016,Coffee
140,10/31/2016,Coffee
140,10/31/2016,Cookies
141,10/31/2016,Bread
142,10/31/2016,Tea
142,10/31/2016,Muffin
143,10/31/2016,Tea
144,10/31/2016,Soup
144,10/31/2016,Hearty & Seasonal
145,10/31/2016,Coffee
145,10/31/2016,Tea
145,10/31/2016,Focaccia
146,10/31/2016,Sandwich
147,10/31/2016,Tartine
147,10/31/2016,Coffee
148,10/31/2016,Fudge
148,10/31/2016,Coffee
148,10/31/2016,Coffee
149,10/31/2016,Coffee
150,10/31/2016,Bread
151,10/31/2016,Coke
151,10/31/2016,Soup
152,10/31/2016,Muffin
153,10/31/2016,Tea
153,10/31/2016,Coffee
153,10/31/2016,Cookies
153,10/31/2016,Muffin
154,10/31/2016,Mighty Protein
154,10/31/2016,Hearty & Seasonal
154,10/31/2016,Coffee
154,10/31/2016,Coke
155,10/31/2016,Tea
155,10/31/2016,Muffin
155,10/31/2016,Sandwich
156,10/31/2016,Coffee
156,10/31/2016,Muffin
